runtime 	  walksum  	 nwalks  	  total_edges  
926.546s : 	18415	1256	0
928.455s : 	18348	1268	0
929.523s : 	18321	1185	0
931.43s : 	18286	1198	0
933.293s : 	18259	1181	0
935.163s : 	18253	1090	0
937.071s : 	18244	1112	0
938.947s : 	18235	1110	0
940.831s : 	18220	1130	0
942.731s : 	18189	1174	0
944.643s : 	18166	1160	0
944.643s : 	18143	1159	0
944.643s : 	17981	1417	0
944.644s : 	17944	1185	0
946.523s : 	17904	1188	0
946.524s : 	17842	1225	0
946.524s : 	17807	1182	0
946.524s : 	17755	1213	0
948.43s : 	17682	1248	0
948.432s : 	17663	1150	0
948.436s : 	17657	1073	0
950.387s : 	17646	1093	0
952.263s : 	17640	1046	0
953.336s : 	17609	1154	0
955.175s : 	17600	1068	0
956.203s : 	17579	1113	0
956.203s : 	17560	1103	0
957.363s : 	17527	1135	0
959.248s : 	17487	1153	0
961.098s : 	17451	1143	0
961.1s : 	17400	1170	0
963.067s : 	17354	1160	0
964.151s : 	17324	1131	0
966.135s : 	17301	1112	0
968.042s : 	17266	1143	0
969.963s : 	17252	1090	0
971.855s : 	17241	1071	0
973.763s : 	17227	1086	0
975.68s : 	17213	1087	0
977.623s : 	17204	1057	0
979.535s : 	17192	1062	0
979.535s : 	17173	1073	0
981.436s : 	17148	1092	0
983.339s : 	17126	1084	0
983.34s : 	17097	1100	0
983.34s : 	17086	1059	0
983.341s : 	16929	1344	0
983.341s : 	16856	1189	0
985.211s : 	16796	1164	0
985.215s : 	16734	1167	0
985.216s : 	16711	1076	0
985.216s : 	16678	1099	0
987.125s : 	16669	1051	0
989.047s : 	16649	1070	0
990.928s : 	16607	1119	0
992.006s : 	16511	1221	0
992.006s : 	16442	1170	0
993.019s : 	16400	1116	0
994.891s : 	16397	1013	0
996.783s : 	16394	1004	0
997.851s : 	16385	1021	0
997.851s : 	16370	1030	0
1000.21s : 	16352	1043	0
1002.13s : 	16339	1026	0
1004.07s : 	16322	1041	0
1005.98s : 	16319	1005	0
1007.94s : 	16310	1019	0
1009.85s : 	16298	1024	0
1011.7s : 	16289	1016	0
1013.56s : 	16277	1024	0
1015.47s : 	16257	1048	0
1015.47s : 	16240	1039	0
1015.48s : 	16234	1012	0
1017.34s : 	16225	1017	0
1019.19s : 	16201	1054	0
1019.19s : 	16171	1065	0
1021.06s : 	16171	978	0
1021.06s : 	16171	979	0
1021.06s : 	16168	985	0
1021.06s : 	16161	1000	0
1021.06s : 	16010	1284	0
1022.95s : 	15945	1130	0
1022.96s : 	15921	1036	0
1024s : 	15910	1006	0
1025.95s : 	15890	1019	0
1027.82s : 	15859	1042	0
1027.82s : 	15802	1090	0
1029.74s : 	15778	1026	0
1031.64s : 	15724	1085	0
1032.66s : 	15652	1132	0
1032.66s : 	15641	1006	0
1034.62s : 	15641	934	0
1036.47s : 	15638	956	0
1038.38s : 	15629	983	0
1040.26s : 	15614	1002	0
1042.15s : 	15612	937	0
1044.05s : 	15611	936	0
1045.93s : 	15606	945	0
1047.85s : 	15595	962	0
1049.78s : 	15581	967	0
1051.64s : 	15564	972	0
1053.57s : 	15538	989	0
1055.46s : 	15492	1025	0
1055.46s : 	15463	992	0
1055.46s : 	15421	1014	0
1055.46s : 	15373	1022	0
1057.35s : 	15320	1030	0
1059.22s : 	15288	999	0
1059.22s : 	15277	960	0
1059.22s : 	15272	945	0
1060.28s : 	15267	945	0
1060.28s : 	15256	961	0
1062.22s : 	15256	932	0
1062.22s : 	15248	950	0
1063.57s : 	15096	1220	0
1063.57s : 	15025	1061	0
1063.57s : 	14990	997	0
1064.65s : 	14927	1047	0
1066.61s : 	14889	1002	0
1066.61s : 	14857	993	0
1067.68s : 	14831	983	0
1069.58s : 	14802	986	0
1071.45s : 	14772	988	0
1073.33s : 	14769	937	0
1075.28s : 	14769	853	0
1077.14s : 	14766	878	0
1079s : 	14760	888	0
1080.87s : 	14751	907	0
1082.73s : 	14742	905	0
1084.68s : 	14730	923	0
1086.58s : 	14718	917	0
1088.45s : 	14701	925	0
1090.34s : 	14692	904	0
1092.2s : 	14669	936	0
1094.1s : 	14654	921	0
1094.1s : 	14628	941	0
1094.1s : 	14602	941	0
1095.98s : 	14573	945	0
1095.98s : 	14541	951	0
1095.98s : 	14497	971	0
1095.98s : 	14450	974	0
1097.83s : 	14403	975	0
1097.83s : 	14394	905	0
1097.83s : 	14388	888	0
1099.69s : 	14385	863	0
1100.8s : 	14364	925	0
1102.75s : 	14354	890	0
1102.75s : 	14348	877	0
1102.75s : 	14335	893	0
1102.75s : 	14324	891	0
1103.83s : 	14304	920	0
1104.85s : 	14279	933	0
1106.76s : 	14235	963	0
1108.66s : 	14235	841	0
1110.56s : 	14226	868	0
1111.67s : 	14211	885	0
1113.56s : 	14189	904	0
1114.65s : 	14183	863	0
1117.06s : 	14171	877	0
1119.16s : 	14149	895	0
1121.06s : 	14134	885	0
1122.98s : 	14119	881	0
1124.86s : 	14115	854	0
1126.77s : 	14104	869	0
1128.68s : 	14096	861	0
1130.63s : 	14083	871	0
1130.63s : 	14066	878	0
1130.63s : 	14043	889	0
1130.64s : 	14032	866	0
1130.64s : 	14018	871	0
1132.54s : 	14003	872	0
1132.54s : 	13989	871	0
1132.54s : 	13969	881	0
1134.46s : 	13938	903	0
1134.46s : 	13907	903	0
1136.38s : 	13873	906	0
1138.27s : 	13853	881	0
1139.97s : 	13787	965	0
1139.97s : 	13750	910	0
1139.97s : 	13735	872	0
1141.06s : 	13710	886	0
1142.35s : 	13671	912	0
1142.35s : 	13640	897	0
1144.26s : 	13604	905	0
1146.19s : 	13604	824	0
1147.28s : 	13603	826	0
1148.38s : 	13595	850	0
1150.29s : 	13574	873	0
1152.2s : 	13558	867	0
1154.1s : 	13553	839	0
1155.19s : 	13537	867	0
1156.27s : 	13518	872	0
1158.19s : 	13510	849	0
1160.07s : 	13509	826	0
1162s : 	13501	843	0
1162s : 	13478	873	0
1162s : 	13478	820	0
1163.96s : 	13465	846	0
1165.84s : 	13449	855	0
1167.76s : 	13420	877	0
1167.77s : 	13378	899	0
1167.77s : 	13333	904	0
1167.77s : 	13316	856	0
1167.78s : 	13316	816	0
1167.78s : 	13308	829	0
1169.76s : 	13297	835	0
1171.69s : 	13274	856	0
1173.56s : 	13245	866	0
1173.57s : 	13185	915	0
1175.54s : 	13158	861	0
1177.45s : 	13139	847	0
1178.67s : 	13109	864	0
1178.67s : 	13070	879	0
1178.67s : 	13040	865	0
1179.75s : 	13040	794	0
1181.7s : 	13040	779	0
1183.6s : 	13037	789	0
1185.52s : 	13028	805	0
1187.43s : 	13016	809	0
1189.33s : 	13003	810	0
1190.42s : 	12994	801	0
1192.32s : 	12988	793	0
1193.38s : 	12981	794	0
1195.26s : 	12965	809	0
1197.87s : 	12959	793	0
1197.87s : 	12915	861	0
1199.82s : 	12868	865	0
1201.72s : 	12839	836	0
1201.72s : 	12813	830	0
1203.53s : 	12772	856	0
1204.61s : 	12772	771	0
1204.62s : 	12770	773	0
1204.62s : 	12765	776	0
1204.62s : 	12751	799	0
1204.62s : 	12732	809	0
1206.55s : 	12724	787	0
1206.55s : 	12710	797	0
1207.64s : 	12693	806	0
1207.64s : 	12676	800	0
1208.9s : 	12610	884	0
1208.9s : 	12601	788	0
1210.86s : 	12583	801	0
1210.86s : 	12567	798	0
1212.85s : 	12552	797	0
1214.86s : 	12535	799	0
1216.76s : 	12515	806	0
1217.95s : 	12515	761	0
1219.9s : 	12504	781	0
1221.81s : 	12474	812	0
1223.71s : 	12457	790	0
1224.78s : 	12443	787	0
1226.74s : 	12443	753	0
1228.67s : 	12437	771	0
1230.59s : 	12428	774	0
1232.49s : 	12413	785	0
1234.47s : 	12388	802	0
1236.38s : 	12363	802	0
1236.38s : 	12362	754	0
1238.27s : 	12357	758	0
1239.9s : 	12357	751	0
1239.9s : 	12350	761	0
1239.9s : 	12347	756	0
1239.9s : 	12338	769	0
1241.68s : 	12324	777	0
1241.69s : 	12302	788	0
1241.69s : 	12302	717	0
1243.59s : 	12299	733	0
1245.53s : 	12281	774	0
1245.53s : 	12275	751	0
1245.53s : 	12252	785	0
1245.53s : 	12228	786	0
1247.43s : 	12197	800	0
1248.52s : 	12155	822	0
1249.76s : 	12118	811	0
1249.76s : 	12077	819	0
1250.84s : 	12042	807	0
1251.92s : 	12004	812	0
1253.83s : 	11982	783	0
1255.77s : 	11979	725	0
1257.69s : 	11979	715	0
1259.6s : 	11970	741	0
1261.53s : 	11953	758	0
1263.45s : 	11929	775	0
1264.52s : 	11917	746	0
1266.41s : 	11908	741	0
1268.34s : 	11885	769	0
1270.23s : 	11868	755	0
1272.11s : 	11859	738	0
1273.29s : 	11850	737	0
1275.22s : 	11829	761	0
1275.22s : 	11799	779	0
1275.22s : 	11787	746	0
1275.22s : 	11763	768	0
1277.06s : 	11739	767	0
1277.06s : 	11739	704	0
1279.01s : 	11739	685	0
1280.89s : 	11736	702	0
1280.89s : 	11718	744	0
1280.89s : 	11706	733	0
1280.9s : 	11697	722	0
1280.9s : 	11685	730	0
1282.41s : 	11672	732	0
1283.63s : 	11648	755	0
1284.69s : 	11630	739	0
1284.69s : 	11606	750	0
1284.69s : 	11582	748	0
1285.78s : 	11549	765	0
1287.7s : 	11503	794	0
1288.78s : 	11457	794	0
1289.87s : 	11400	813	0
1290.94s : 	11390	724	0
1292.92s : 	11382	717	0
1294.85s : 	11376	714	0
1296.86s : 	11370	715	0
1298.79s : 	11356	729	0
1300.01s : 	11347	721	0
1301.97s : 	11335	725	0
1303.84s : 	11332	689	0
1305.82s : 	11332	671	0
1307.75s : 	11323	697	0
1307.76s : 	11308	707	0
1309.02s : 	11302	689	0
1309.02s : 	11296	689	0
1309.02s : 	11275	719	0
1309.02s : 	11248	730	0
1310.93s : 	11221	729	0
1312.91s : 	11192	731	0
1312.91s : 	11160	735	0
1312.91s : 	11115	758	0
1314.01s : 	11112	680	0
1315.12s : 	11101	695	0
1317.07s : 	11081	711	0
1317.08s : 	11067	698	0
1317.08s : 	11044	712	0
1317.09s : 	11011	729	0
1318.99s : 	10970	742	0
1318.99s : 	10923	753	0
1320.98s : 	10876	752	0
1322.14s : 	10835	742	0
1324.08s : 	10782	764	0
1325.25s : 	10726	772	0
1327.11s : 	10696	722	0
1329.01s : 	10674	711	0
1330.07s : 	10670	682	0
1332.06s : 	10667	679	0
1333.14s : 	10653	699	0
